+3.54000E+2	+1.09909E-1	+2.59087E-2	+2.23987E-2
+3.56000E+2	+1.14166E-1	+2.51456E-2	+2.05484E-2
+3.58000E+2	+1.05743E-1	+2.46136E-2	+1.88782E-2
+3.60000E+2	+1.06445E-1	+2.39585E-2	+1.71765E-2
+3.62000E+2	+1.06934E-1	+2.33902E-2	+1.55909E-2
+3.64000E+2	+1.04843E-1	+2.28468E-2	+1.38420E-2
+3.66000E+2	+1.05377E-1	+2.28033E-2	+1.36280E-2
+3.68000E+2	+1.05026E-1	+2.28152E-2	+1.35735E-2
+3.70000E+2	+9.81140E-2	+2.26248E-2	+1.31539E-2
+3.72000E+2	+1.05865E-1	+2.20952E-2	+1.18790E-2
+3.74000E+2	+1.07193E-1	+2.19649E-2	+1.04374E-2
+3.76000E+2	+9.80682E-2	+2.18302E-2	+9.37111E-3
+3.78000E+2	+9.98230E-2	+2.19098E-2	+9.60004E-3
+3.80000E+2	+1.03104E-1	+2.23003E-2	+1.06366E-2
+3.82000E+2	+1.05240E-1	+2.30412E-2	+1.31944E-2
+3.84000E+2	+1.10123E-1	+2.42614E-2	+1.64952E-2
+3.86000E+2	+1.09100E-1	+2.56931E-2	+2.08753E-2
+3.88000E+2	+1.18622E-1	+2.80344E-2	+2.65035E-2
+3.90000E+2	+1.18759E-1	+3.02420E-2	+3.13566E-2
+3.92000E+2	+1.23337E-1	+3.17828E-2	+3.40151E-2
+3.94000E+2	+1.22223E-1	+3.10622E-2	+3.26063E-2
+3.96000E+2	+1.30981E-1	+3.08004E-2	+3.20873E-2
+3.98000E+2	+1.18073E-1	+3.12678E-2	+3.29250E-2
+4.00000E+2	+1.18759E-1	+3.31100E-2	+3.62718E-2
+4.02000E+2	+1.21475E-1	+3.42029E-2	+3.83800E-2
+4.04000E+2	+1.37527E-1	+3.44926E-2	+3.89770E-2
+4.06000E+2	+1.37390E-1	+3.62334E-2	+4.18359E-2
+4.08000E+2	+1.34415E-1	+3.79382E-2	+4.48001E-2
+4.10000E+2	+1.31912E-1	+4.07957E-2	+4.96409E-2
+4.12000E+2	+1.36795E-1	+4.44893E-2	+5.56094E-2
+4.14000E+2	+1.52695E-1	+4.85874E-2	+6.19890E-2
+4.16000E+2	+1.55304E-1	+5.24505E-2	+6.77330E-2
+4.18000E+2	+1.64413E-1	+5.57301E-2	+7.26485E-2
+4.20000E+2	+1.60095E-1	+5.70619E-2	+7.51114E-2
+4.22000E+2	+1.57669E-1	+5.57986E-2	+7.32601E-2
+4.24000E+2	+1.51047E-1	+5.58733E-2	+7.34028E-2
+4.26000E+2	+1.75385E-1	+5.94032E-2	+7.87136E-2
+4.28000E+2	+1.73157E-1	+6.41307E-2	+8.58470E-2
+4.30000E+2	+1.70837E-1	+6.58268E-2	+8.83446E-2
+4.32000E+2	+1.81961E-1	+7.19799E-2	+9.75038E-2
+4.34000E+2	+1.99020E-1	+8.06957E-2	+1.10275E-1
+4.36000E+2	+2.16797E-1	+9.66651E-2	+1.33486E-1
+4.38000E+2	+2.48764E-1	+1.16223E-1	+1.61731E-1
+4.40000E+2	+2.88071E-1	+1.43734E-1	+2.01071E-1
+4.42000E+2	+3.21396E-1	+1.76622E-1	+2.48053E-1
+4.44000E+2	+3.64349E-1	+2.02862E-1	+2.84983E-1
+4.46000E+2	+3.71155E-1	+2.09562E-1	+2.94871E-1
+4.48000E+2	+3.60291E-1	+1.99617E-1	+2.80705E-1
+4.50000E+2	+3.38272E-1	+1.85778E-1	+2.60690E-1
+4.52000E+2	+3.18451E-1	+1.71804E-1	+2.41156E-1
+4.54000E+2	+3.07587E-1	+1.59952E-1	+2.24097E-1
+4.56000E+2	+3.04230E-1	+1.51300E-1	+2.11646E-1
+4.58000E+2	+2.92480E-1	+1.46669E-1	+2.05173E-1
+4.60000E+2	+2.79984E-1	+1.41937E-1	+1.98451E-1
+4.62000E+2	+2.72125E-1	+1.37603E-1	+1.92204E-1
+4.64000E+2	+2.66357E-1	+1.30862E-1	+1.82690E-1
+4.66000E+2	+2.55051E-1	+1.23865E-1	+1.72593E-1
+4.68000E+2	+2.57095E-1	+1.18690E-1	+1.65088E-1
+4.70000E+2	+2.40402E-1	+1.14463E-1	+1.59031E-1
+4.72000E+2	+2.37045E-1	+1.11145E-1	+1.54203E-1
