Record Length,Analog:14000
Sample Interval,CH:0.0000000500000
Vertical Units,CH1:V CH4:V,,,
Vertical Scale,CH1:+2.000000E-03 CH4:+5.000000E-01,,,
Vertical Offset,CH1:+6.400000E-04 CH4:+2.700000E-01,,,
Horizontal Units,us,,,
Horizontal Scale,50.0000000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMEBX4R2044,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1,CH4
Second,Volt,Volt
-5.555000E-05,-8.799999E-04,-1.990000E+00
-5.550000E-05,-8.799999E-04,-1.970000E+00
-5.545000E-05,-8.799999E-04,-1.970000E+00
-5.540000E-05,-8.799999E-04,-1.990000E+00
-5.535000E-05,-9.600000E-04,-1.990000E+00
-5.530000E-05,-8.799999E-04,-1.990000E+00
-5.525000E-05,-8.799999E-04,-1.990000E+00
-5.520000E-05,-9.600000E-04,-1.990000E+00
-5.515000E-05,-9.600000E-04,-1.990000E+00
-5.510000E-05,-9.600000E-04,-1.970000E+00
-5.505000E-05,-9.600000E-04,-1.990000E+00
-5.500000E-05,-9.600000E-04,-1.990000E+00
-5.495000E-05,-9.600000E-04,-1.970000E+00
-5.490000E-05,-9.600000E-04,-1.970000E+00
-5.485000E-05,-8.799999E-04,-1.990000E+00
-5.480000E-05,-8.799999E-04,-1.990000E+00
-5.475000E-05,-9.600000E-04,-1.990000E+00
-5.470000E-05,-9.600000E-04,-1.990000E+00
-5.465000E-05,-8.799999E-04,-1.970000E+00
-5.460000E-05,-9.600000E-04,-1.990000E+00
-5.455000E-05,-9.600000E-04,-1.990000E+00
-5.450000E-05,-9.600000E-04,-1.970000E+00
-5.445000E-05,-8.799999E-04,-1.990000E+00
-5.440000E-05,-9.600000E-04,-1.990000E+00
-5.435000E-05,-9.600000E-04,-1.990000E+00
-5.430000E-05,-9.600000E-04,-1.990000E+00
-5.425000E-05,-8.799999E-04,-1.990000E+00
-5.420000E-05,-9.600000E-04,-1.990000E+00
-5.415000E-05,-1.040000E-03,-1.990000E+00
-5.410000E-05,-9.600000E-04,-1.970000E+00
-5.405000E-05,-8.799999E-04,-1.970000E+00
-5.400000E-05,-9.600000E-04,-1.990000E+00
-5.395000E-05,-9.600000E-04,-1.970000E+00
-5.390000E-05,-8.799999E-04,-1.990000E+00
-5.385000E-05,-1.040000E-03,-1.990000E+00
-5.380000E-05,-8.799999E-04,-1.990000E+00
-5.375000E-05,-1.040000E-03,-1.970000E+00
